,regret,reward
1,14.605154639175257,10.0
2,31.210309278350515,18.0
3,38.815463917525776,35.0
4,40.42061855670103,58.0
5,49.02577319587628,74.0
6,54.63092783505155,93.0
7,59.236082474226805,113.0
8,70.84123711340206,126.0
9,80.44639175257731,141.0
10,81.05154639175257,165.0
11,86.65670103092782,184.0
12,100.2618556701031,195.0
13,117.86701030927833,202.0
14,120.47216494845361,224.0
15,139.07731958762884,230.0
16,145.68247422680412,248.0
17,156.2876288659794,262.0
18,168.89278350515463,274.0
19,182.4979381443299,285.0
20,196.10309278350513,296.0
21,199.70824742268042,317.0
22,197.31340206185564,344.0
23,213.91855670103087,352.0
24,224.5237113402062,366.0
25,228.12886597938143,387.0
26,238.73402061855666,401.0
27,243.339175257732,421.0
28,254.94432989690722,434.0
29,255.54948453608245,458.0
30,258.15463917525767,480.0
31,264.759793814433,498.0
32,271.36494845360824,516.0
33,276.97010309278346,535.0
34,281.5752577319588,555.0
35,279.180412371134,582.0
36,280.78556701030925,605.0
37,277.3907216494845,633.0
38,279.9958762886598,655.0
39,272.60103092783504,687.0
40,279.20618556701027,705.0
41,277.8113402061856,731.0
42,280.41649484536083,753.0
43,285.02164948453606,773.0
44,276.6268041237113,806.0
45,276.2319587628865,831.0
46,262.83711340206173,869.0
47,267.4422680412372,889.0
48,266.0474226804124,915.0
49,264.65257731958764,941.0
50,261.25773195876286,969.0
51,262.8628865979381,992.0
52,259.4680412371133,1020.0
53,254.07319587628854,1050.0
54,252.678350515464,1076.0
55,255.28350515463922,1098.0
56,261.88865979381444,1116.0
57,263.49381443298967,1139.0
58,258.0989690721649,1169.0
59,256.7041237113401,1195.0
60,261.30927835051534,1215.0
61,262.9144329896908,1238.0
62,267.519587628866,1258.0
63,267.12474226804125,1283.0
64,266.72989690721647,1308.0
65,259.3350515463917,1340.0
66,254.94020618556692,1369.0
67,254.54536082474215,1394.0
68,246.1505154639176,1427.0
69,248.75567010309283,1449.0
70,249.36082474226805,1473.0
71,246.96597938144328,1500.0
72,247.5711340206185,1524.0
73,246.17628865979373,1550.0
74,244.78144329896895,1576.0
75,251.3865979381444,1594.0
76,248.99175257731963,1621.0
77,253.59690721649486,1641.0
78,255.20206185567008,1664.0
79,258.8072164948453,1685.0
80,253.41237113402053,1715.0
81,248.01752577319576,1745.0
82,252.6226804123712,1765.0
83,253.22783505154644,1789.0
84,255.83298969072166,1811.0
85,251.43814432989666,1840.0
86,248.0432989690721,1868.0
87,242.64845360824756,1898.0
88,251.25360824742256,1914.0
89,245.85876288659802,1944.0
90,247.463917525773,1967.0
91,249.06907216494847,1990.0
92,248.67422680412346,2015.0
93,247.27938144329892,2041.0
94,255.88453608247437,2057.0
95,258.48969072164937,2079.0
96,256.0948453608248,2106.0
97,259.6999999999998,2127.0
98,252.30515463917527,2159.0
99,252.91030927835027,2183.0
100,255.51546391752572,2205.0
101,255.12061855670117,2230.0
102,253.72577319587617,2256.0
103,254.33092783505163,2280.0
104,248.93608247422662,2310.0
105,247.54123711340208,2336.0
106,243.14639175257707,2365.0
107,241.75154639175253,2391.0
108,241.35670103092798,2416.0
109,240.96185567010298,2441.0
110,231.56701030927843,2475.0
111,220.17216494845343,2511.0
112,218.77731958762888,2537.0
113,221.38247422680388,2559.0
114,218.98762886597933,2586.0
115,222.59278350515478,2607.0
116,223.19793814432978,2631.0
117,221.80309278350524,2657.0
118,226.40824742268023,2677.0
119,225.0134020618557,2703.0
120,230.61855670103068,2722.0
121,236.22371134020614,2741.0
122,235.8288659793816,2766.0
123,241.4340206185566,2785.0
124,235.03917525773204,2816.0
125,243.64432989690704,2832.0
126,246.2494845360825,2854.0
127,245.8546391752575,2879.0
128,239.45979381443294,2910.0
129,247.0649484536084,2927.0
130,252.6701030927834,2946.0
131,252.27525773195885,2971.0
132,255.88041237113384,2992.0
133,256.4855670103093,3016.0
134,252.0907216494843,3045.0
135,256.69587628865975,3065.0
136,254.3010309278352,3092.0
137,257.9061855670102,3113.0
138,253.51134020618565,3142.0
139,255.11649484536065,3165.0
140,255.7216494845361,3189.0
141,248.3268041237111,3221.0
142,246.93195876288655,3247.0
143,243.537113402062,3275.0
144,246.142268041237,3297.0
145,251.74742268041246,3316.0
146,246.35257731958745,3346.0
147,246.9577319587629,3370.0
148,249.5628865979379,3392.0
149,251.16804123711336,3415.0
150,254.7731958762888,3436.0
151,259.3783505154638,3456.0
152,261.98350515463926,3478.0
153,266.58865979381426,3498.0
154,268.1938144329897,3521.0
155,272.7989690721647,3541.0
156,270.40412371134016,3568.0
157,269.0092783505156,3594.0
158,272.6144329896906,3615.0
159,269.21958762886607,3643.0
160,269.82474226804106,3667.0
161,270.4298969072165,3691.0
162,269.0350515463915,3717.0
163,261.64020618556697,3749.0
164,262.2453608247424,3773.0
165,257.8505154639174,3802.0
166,258.45567010309287,3826.0
167,253.06082474226787,3856.0
168,253.66597938144332,3880.0
169,248.27113402061877,3910.0
170,245.87628865979332,3937.0
171,250.48144329896877,3957.0
172,250.08659793814422,3982.0
173,252.69175257731968,4004.0
174,251.29690721649513,4030.0
175,249.90206185566967,4056.0
176,256.5072164948451,4074.0
177,264.1123711340206,4091.0
178,260.71752577319603,4119.0
179,257.3226804123715,4147.0
180,257.927835051546,4171.0
181,254.53298969072148,4199.0
182,256.13814432989693,4222.0
183,256.7432989690724,4246.0
184,252.34845360824693,4275.0
185,254.95360824742238,4297.0
186,255.55876288659783,4321.0
187,250.1639175257733,4351.0
188,255.76907216494874,4370.0
189,249.37422680412328,4401.0
190,252.97938144329873,4422.0
