Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
70,15,29,1293,425.3169934640523
71,15,24,1317,425.86437908496737
72,15,21,1338,429.41176470588243
73,15,22,1360,431.9591503267975
74,15,26,1386,430.50653594771256
75,5,31,1417,424.0539215686274
76,5,27,1444,421.60130718954247
77,5,15,1459,431.14869281045753
78,13,29,1488,426.6960784313726
79,5,20,1508,431.24346405228766
80,13,14,1522,441.79084967320273
81,15,27,1549,439.3382352941178
82,15,22,1571,441.88562091503263
83,7,18,1589,448.4330065359477
84,15,30,1619,442.98039215686276
85,15,17,1636,450.5277777777778
86,15,17,1653,458.0751633986929
87,23,9,1662,473.62254901960796
88,15,30,1692,468.169934640523
89,15,26,1718,466.7173202614381
90,15,34,1752,457.26470588235316
91,15,23,1775,458.8120915032682
92,15,25,1800,458.3594771241833
93,15,13,1813,469.9068627450979
94,15,25,1838,469.45424836601296
95,18,13,1851,481.001633986928
96,15,16,1867,489.5490196078431
97,3,17,1884,497.09640522875816
98,10,16,1900,505.6437908496732
99,17,15,1915,515.1911764705883
100,15,24,1939,515.7385620915034
101,15,24,1963,516.2859477124184
102,15,21,1984,519.8333333333335
103,14,10,1994,534.3807189542486
104,15,27,2021,531.9281045751636
105,15,26,2047,530.4754901960787
106,15,24,2071,531.0228758169937
107,11,8,2079,547.5702614379084
108,11,8,2087,564.1176470588234
109,15,27,2114,561.6650326797385
110,15,26,2140,560.2124183006536
111,2,20,2160,564.7598039215686
112,11,8,2168,581.3071895424837
113,15,25,2193,580.8545751633987
114,15,29,2222,576.4019607843138
115,15,25,2247,575.9493464052289
116,15,28,2275,572.496732026144
117,15,29,2304,568.044117647059
118,15,27,2331,565.5915032679741
119,15,23,2354,567.1388888888891
120,8,7,2361,584.6862745098042
121,15,19,2380,590.2336601307188
122,15,26,2406,588.7810457516339
123,15,17,2423,596.328431372549
124,5,17,2440,603.875816993464
125,13,25,2465,603.4232026143791
126,15,25,2490,602.9705882352941
127,15,24,2514,603.5179738562092
128,15,24,2538,604.0653594771243
129,15,22,2560,606.6127450980393
130,15,22,2582,609.1601307189544
131,12,6,2588,627.7075163398695
132,15,18,2606,634.2549019607845
133,4,22,2628,636.8022875816996
134,7,19,2647,642.3496732026147
135,15,17,2664,649.8970588235297
136,15,28,2692,646.4444444444443
137,15,21,2713,649.9918300653594
138,15,22,2735,652.5392156862745
139,20,24,2759,653.0866013071895
140,15,23,2782,654.6339869281046
141,20,32,2814,647.1813725490197
142,15,27,2841,644.7287581699347
143,15,17,2858,652.2761437908498
144,15,22,2880,654.8235294117649
145,15,27,2907,652.3709150326799
146,15,18,2925,658.918300653595
147,13,29,2954,654.4656862745101
148,15,23,2977,656.0130718954251
149,12,6,2983,674.5604575163402
150,14,11,2994,688.1078431372548
151,8,15,3009,697.6552287581699
152,15,16,3025,706.2026143790849
153,2,20,3045,710.75
154,15,23,3068,712.2973856209151
155,15,17,3085,719.8447712418301
156,13,22,3107,722.3921568627452
157,13,18,3125,728.9395424836603
158,2,17,3142,736.4869281045753
159,10,17,3159,744.0343137254904
160,23,17,3176,751.5816993464055
161,15,28,3204,748.1290849673205
162,15,23,3227,749.6764705882356
163,0,7,3234,767.2238562091507
164,19,6,3240,785.7712418300653
165,1,15,3255,795.3186274509803
166,15,25,3280,794.8660130718954
167,15,31,3311,788.4133986928109
168,15,24,3335,788.9607843137255
169,15,25,3360,788.508169934641
170,0,4,3364,809.0555555555557
171,19,4,3368,829.6029411764703
172,18,10,3378,844.1503267973858
173,21,26,3404,842.6977124183004
174,21,27,3431,840.2450980392159
175,21,31,3462,833.7924836601305
176,12,8,3470,850.339869281046
177,21,26,3496,848.8872549019607
178,21,26,3522,847.4346405228762
179,0,6,3528,865.9820261437908
180,21,23,3551,867.5294117647063
181,21,29,3580,863.0767973856209
182,6,16,3596,871.6241830065364
183,21,27,3623,869.171568627451
184,21,25,3648,868.7189542483666
185,21,25,3673,868.2663398692812
186,21,19,3692,873.8137254901958
187,21,25,3717,873.3611111111113
188,21,21,3738,876.9084967320259
189,21,23,3761,878.4558823529414
190,21,22,3783,881.003267973856
191,23,20,3803,885.5506535947716
192,11,13,3816,897.0980392156862
193,23,13,3829,908.6454248366017
194,7,18,3847,915.1928104575163
195,21,23,3870,916.7401960784318
196,21,25,3895,916.2875816993464
197,21,24,3919,916.834967320262
198,21,18,3937,923.3823529411766
199,13,25,3962,922.9297385620921
200,19,3,3965,944.4771241830067
201,21,25,3990,944.0245098039213
202,21,21,4011,947.5718954248368
203,21,24,4035,948.1192810457514
204,17,15,4050,957.666666666667
205,21,29,4079,953.2140522875816
206,21,22,4101,955.7614379084971
207,21,22,4123,958.3088235294117
208,21,22,4145,960.8562091503272
209,21,24,4169,961.4035947712418
210,21,22,4191,963.9509803921574
211,21,24,4215,964.498366013072
212,8,15,4230,974.0457516339875
213,21,22,4252,976.5931372549021
214,21,25,4277,976.1405228758167
215,5,26,4303,974.6879084967322
216,21,18,4321,981.2352941176468
217,21,28,4349,977.7826797385624
218,21,28,4377,974.330065359477
219,21,30,4407,968.8774509803925
220,16,14,4421,979.4248366013071
221,21,28,4449,975.9722222222226
222,21,25,4474,975.5196078431372
223,21,26,4500,974.0669934640528
224,15,18,4518,980.6143790849674
225,2,19,4537,986.1617647058829
226,9,18,4555,992.7091503267975
227,21,21,4576,996.256535947713
228,21,20,4596,1000.8039215686276
229,20,20,4616,1005.3513071895422
230,21,26,4642,1003.8986928104578
231,21,21,4663,1007.4460784313724
232,22,9,4672,1022.9934640522879
233,7,18,4690,1029.5408496732025
234,4,25,4715,1029.088235294118
235,21,23,4738,1030.6356209150326
236,19,10,4748,1045.1830065359482
237,21,19,4767,1050.7303921568628
238,21,21,4788,1054.2777777777783
239,0,9,4797,1069.825163398693
240,21,29,4826,1065.3725490196084
241,21,21,4847,1068.919934640523
