round,arm_pulled,reward,cum_reward,regret
362,1,17,5506,3384.003412969283
363,2,22,5528,3386.5614334470993
364,3,15,5543,3396.1194539249136
365,4,22,5565,3398.67747440273
366,5,22,5587,3401.235494880546
367,6,13,5600,3412.793515358362
368,7,15,5615,3422.3515358361765
369,8,11,5626,3435.9095563139927
370,9,20,5646,3440.467576791809
371,10,19,5665,3446.025597269625
372,11,12,5677,3458.5836177474393
373,12,6,5683,3477.1416382252555
374,13,19,5702,3482.6996587030717
375,14,7,5709,3500.257679180888
376,15,27,5736,3497.815699658702
377,16,9,5745,3513.3737201365184
378,17,8,5753,3529.9317406143346
379,18,10,5763,3544.4897610921507
380,19,6,5769,3563.047781569965
381,20,17,5786,3570.6058020477813
382,21,24,5810,3571.1638225255974
383,22,8,5818,3587.7218430034136
384,23,14,5832,3598.279863481228
385,0,7,5839,3615.837883959044
386,1,14,5853,3626.3959044368603
387,2,24,5877,3626.9539249146746
388,3,11,5888,3640.511945392491
389,4,13,5901,3652.069965870307
390,5,30,5931,3646.627986348123
391,6,12,5943,3659.1860068259375
392,7,20,5963,3663.7440273037537
393,8,17,5980,3671.30204778157
394,9,16,5996,3679.860068259386
395,10,19,6015,3685.4180887372004
396,11,11,6026,3698.9761092150165
397,12,5,6031,3718.5341296928327
398,13,17,6048,3726.092150170649
399,14,5,6053,3745.6501706484632
400,15,20,6073,3750.2081911262794
401,16,8,6081,3766.7662116040956
402,17,11,6092,3780.3242320819118
403,18,15,6107,3789.882252559726
404,19,6,6113,3808.4402730375423
405,20,16,6129,3816.9982935153585
406,21,19,6148,3822.5563139931746
407,22,5,6153,3842.114334470989
408,23,15,6168,3851.672354948805
409,0,7,6175,3869.2303754266213
410,1,20,6195,3873.7883959044357
411,2,21,6216,3877.346416382252
412,3,14,6230,3887.904436860068
413,4,17,6247,3895.462457337884
414,5,20,6267,3900.0204778156985
415,6,11,6278,3913.5784982935147
416,7,24,6302,3914.136518771331
417,8,12,6314,3926.694539249147
418,9,22,6336,3929.2525597269614
419,10,13,6349,3940.8105802047776
420,11,10,6359,3955.3686006825938
421,12,5,6364,3974.92662116041
422,13,22,6386,3977.4846416382243
423,14,9,6395,3993.0426621160404
424,15,19,6414,3998.6006825938566
425,16,14,6428,4009.158703071673
426,17,15,6443,4018.716723549487
427,18,13,6456,4030.2747440273033
428,19,9,6465,4045.8327645051195
429,20,17,6482,4053.3907849829357
430,21,22,6504,4055.94880546075
431,22,7,6511,4073.506825938566
432,23,17,6528,4081.0648464163824
433,21,26,6554,4079.6228668941985
434,21,21,6575,4083.180887372013
435,21,30,6605,4077.738907849829
436,21,29,6634,4073.296928327645
437,21,28,6662,4069.8549488054596
438,21,22,6684,4072.4129692832757
439,21,22,6706,4074.970989761092
440,21,27,6733,4072.529010238908
441,21,25,6758,4072.0870307167224
442,21,26,6784,4070.6450511945386
443,21,22,6806,4073.203071672355
444,21,19,6825,4078.761092150171
445,21,27,6852,4076.3191126279853
446,21,24,6876,4076.8771331058015
447,21,31,6907,4070.4351535836176
448,21,25,6932,4069.993174061434
449,21,35,6967,4059.551194539248
450,21,22,6989,4062.1092150170643
451,21,29,7018,4057.6672354948805
452,21,17,7035,4065.2252559726967
453,21,23,7058,4066.783276450511
454,21,25,7083,4066.341296928327
455,21,20,7103,4070.8993174061434
456,21,17,7120,4078.4573378839596
457,21,30,7150,4073.015358361774
458,21,24,7174,4073.57337883959
459,21,31,7205,4067.1313993174062
460,21,22,7227,4069.6894197952224
461,21,23,7250,4071.247440273037
462,21,22,7272,4073.805460750853
463,21,24,7296,4074.363481228669
464,21,20,7316,4078.9215017064835
465,21,28,7344,4075.4795221842996
466,21,22,7366,4078.037542662116
467,21,27,7393,4075.595563139932
468,21,24,7417,4076.1535836177463
469,21,17,7434,4083.7116040955625
470,21,23,7457,4085.2696245733787
471,21,21,7478,4088.827645051195
472,21,24,7502,4089.385665529009
473,21,22,7524,4091.9436860068254
474,21,26,7550,4090.5017064846415
475,21,33,7583,4082.0597269624577
476,21,26,7609,4080.617747440272
477,21,25,7634,4080.1757679180882
478,21,24,7658,4080.7337883959044
479,21,20,7678,4085.2918088737206
480,21,26,7704,4083.849829351535
481,21,31,7735,4077.407849829351
482,21,21,7756,4080.9658703071673
483,21,29,7785,4076.5238907849835
484,21,18,7803,4083.081911262798
485,21,25,7828,4082.639931740614
486,21,27,7855,4080.19795221843
487,21,26,7881,4078.7559726962445
488,21,17,7898,4086.3139931740607
489,21,22,7920,4088.872013651877
490,21,24,7944,4089.430034129693
491,21,21,7965,4092.9880546075074
492,21,27,7992,4090.5460750853235
493,21,32,8024,4083.1040955631397
494,21,31,8055,4076.662116040956
495,21,26,8081,4075.2201365187702
496,21,24,8105,4075.7781569965864
497,21,24,8129,4076.3361774744026
498,21,22,8151,4078.8941979522187
499,21,33,8184,4070.452218430033
500,21,25,8209,4070.0102389078493
501,21,17,8226,4077.5682593856654
502,21,23,8249,4079.1262798634816
503,21,28,8277,4075.684300341296
504,21,29,8306,4071.242320819112
505,21,19,8325,4076.8003412969283
506,21,29,8354,4072.3583617747445
507,21,28,8382,4068.916382252559
508,21,27,8409,4066.474402730375
509,21,23,8432,4068.032423208191
510,21,29,8461,4063.5904436860073
511,21,33,8494,4055.1484641638217
512,21,21,8515,4058.706484641638
513,21,24,8539,4059.264505119454
514,21,25,8564,4058.8225255972684
515,21,19,8583,4064.3805460750846
516,21,33,8616,4055.9385665529007
517,21,21,8637,4059.496587030717
518,21,29,8666,4055.0546075085313
519,21,27,8693,4052.6126279863474
520,21,23,8716,4054.1706484641636
521,21,27,8743,4051.72866894198
522,21,22,8765,4054.286689419794
523,21,17,8782,4061.8447098976103
524,21,26,8808,4060.4027303754265
525,21,25,8833,4059.9607508532426
526,21,27,8860,4057.518771331057
527,21,24,8884,4058.076791808873
528,21,27,8911,4055.6348122866893
529,21,24,8935,4056.1928327645055
530,21,28,8963,4052.75085324232
531,21,23,8986,4054.308873720136
532,21,28,9014,4050.866894197952
533,21,27,9041,4048.4249146757684
534,21,25,9066,4047.9829351535827
535,21,20,9086,4052.540955631399
536,21,27,9113,4050.098976109215
537,21,29,9142,4045.6569965870312
538,21,31,9173,4039.2150170648456
539,21,29,9202,4034.7730375426618
540,21,22,9224,4037.331058020478
541,21,21,9245,4040.8890784982923
542,21,27,9272,4038.4470989761085
543,21,25,9297,4038.0051194539246
544,21,29,9326,4033.563139931741
545,21,22,9348,4036.121160409555
546,21,21,9369,4039.6791808873713
547,21,29,9398,4035.2372013651875
548,21,24,9422,4035.7952218430037
549,21,22,9444,4038.353242320818
550,21,31,9475,4031.911262798634
551,21,18,9493,4038.4692832764504
552,21,27,9520,4036.0273037542665
553,21,21,9541,4039.585324232081
554,21,26,9567,4038.143344709897
555,21,28,9595,4034.7013651877132
556,21,31,9626,4028.2593856655294
557,21,18,9644,4034.8174061433438
558,21,27,9671,4032.37542662116
559,21,26,9697,4030.933447098976
560,21,25,9722,4030.4914675767923
561,21,18,9740,4037.0494880546066
562,21,33,9773,4028.607508532423
563,21,16,9789,4037.165529010239
564,21,17,9806,4044.7235494880533
565,21,21,9827,4048.2815699658695
566,21,25,9852,4047.8395904436857
567,21,22,9874,4050.397610921502
568,21,28,9902,4046.955631399316
569,21,28,9930,4043.5136518771324
570,21,28,9958,4040.0716723549485
571,21,18,9976,4046.6296928327647
572,21,31,10007,4040.187713310579
573,21,18,10025,4046.7457337883952
574,21,25,10050,4046.3037542662114
575,21,26,10076,4044.8617747440276
576,21,21,10097,4048.419795221842
577,21,28,10125,4044.977815699658
578,21,22,10147,4047.5358361774743
579,21,25,10172,4047.0938566552904
580,21,26,10198,4045.651877133105
581,21,28,10226,4042.209897610921
582,21,19,10245,4047.767918088737
583,21,22,10267,4050.3259385665533
584,21,18,10285,4056.8839590443677
585,21,22,10307,4059.441979522184
586,21,22,10329,4062.0
587,21,27,10356,4059.558020477816
588,21,25,10381,4059.1160409556305
589,21,25,10406,4058.6740614334467
590,21,24,10430,4059.232081911263
591,21,21,10451,4062.790102389077
592,21,28,10479,4059.3481228668934
593,21,20,10499,4063.9061433447096
594,21,21,10520,4067.4641638225257
595,21,25,10545,4067.02218430034
596,21,24,10569,4067.5802047781563
597,21,32,10601,4060.1382252559724
598,21,23,10624,4061.6962457337886
599,21,30,10654,4056.254266211603
600,21,24,10678,4056.812286689419
601,21,26,10704,4055.3703071672353
602,21,24,10728,4055.9283276450515
603,21,35,10763,4045.486348122866
604,21,20,10783,4050.044368600682
605,21,21,10804,4053.602389078498
606,21,25,10829,4053.1604095563143
607,21,18,10847,4059.7184300341287
608,21,21,10868,4063.276450511945
609,21,22,10890,4065.834470989761
610,21,25,10915,4065.392491467577
611,21,32,10947,4057.9505119453916
612,21,20,10967,4062.5085324232077
613,21,32,10999,4055.066552901024
614,21,23,11022,4056.62457337884
615,21,28,11050,4053.1825938566544
616,21,20,11070,4057.7406143344706
617,21,26,11096,4056.2986348122868
