round,arm_pulled,reward,cum_reward,regret
413,4,16,6446,3100.9249146757666
414,5,13,6459,3111.040955631399
415,6,11,6470,3123.1569965870294
416,7,18,6488,3128.2730375426618
417,8,9,6497,3142.3890784982923
418,9,25,6522,3140.5051194539246
419,10,21,6543,3142.621160409555
420,11,12,6555,3153.7372013651875
421,12,7,6562,3169.853242320818
422,13,22,6584,3170.9692832764504
423,14,5,6589,3189.085324232081
424,15,22,6611,3190.2013651877132
425,16,17,6628,3196.3174061433438
426,17,11,6639,3208.433447098976
427,18,15,6654,3216.5494880546066
428,19,5,6659,3234.665529010239
429,20,19,6678,3238.7815699658695
430,21,22,6700,3239.897610921502
431,22,8,6708,3255.0136518771324
432,23,12,6720,3266.1296928327647
433,13,25,6745,3264.2457337883952
434,13,29,6774,3258.3617747440276
435,13,25,6799,3256.477815699658
436,13,26,6825,3253.5938566552886
437,13,18,6843,3258.709897610921
438,13,29,6872,3252.8259385665515
439,13,18,6890,3257.941979522184
440,13,23,6913,3258.0580204778144
441,13,22,6935,3259.1740614334467
442,13,27,6962,3255.290102389077
443,13,25,6987,3253.4061433447096
444,13,18,7005,3258.52218430034
445,13,21,7026,3260.6382252559724
446,13,22,7048,3261.754266211603
447,13,20,7068,3264.8703071672353
448,13,15,7083,3272.986348122866
449,13,23,7106,3273.102389078498
450,13,31,7137,3265.2184300341287
451,13,24,7161,3264.334470989761
452,13,19,7180,3268.4505119453916
453,13,23,7203,3268.566552901024
454,13,26,7229,3265.6825938566544
455,13,17,7246,3271.7986348122868
456,13,29,7275,3265.9146757679173
457,13,22,7297,3267.0307167235496
458,13,21,7318,3269.14675767918
459,13,31,7349,3261.2627986348125
460,13,27,7376,3257.378839590443
461,13,23,7399,3257.4948805460735
462,13,31,7430,3249.610921501706
463,13,23,7453,3249.7269624573364
464,13,25,7478,3247.8430034129688
465,13,23,7501,3247.9590443685993
466,13,28,7529,3243.0750853242316
467,13,21,7550,3245.191126279862
468,13,24,7574,3244.3071672354945
469,13,30,7604,3237.423208191125
470,13,17,7621,3243.5392491467574
471,13,34,7655,3232.655290102388
472,13,18,7673,3237.77133105802
473,13,23,7696,3237.8873720136507
474,13,25,7721,3236.003412969283
475,13,26,7747,3233.1194539249136
476,13,16,7763,3240.235494880546
477,13,21,7784,3242.3515358361765
478,13,22,7806,3243.467576791809
479,13,22,7828,3244.5836177474393
480,13,23,7851,3244.6996587030717
481,13,17,7868,3250.815699658702
482,13,20,7888,3253.9317406143346
483,13,24,7912,3253.047781569965
484,13,24,7936,3252.1638225255974
485,13,22,7958,3253.279863481228
486,13,16,7974,3260.3959044368603
487,13,28,8002,3255.511945392491
488,13,25,8027,3253.6279863481213
489,13,24,8051,3252.7440273037537
490,13,28,8079,3247.860068259384
491,13,21,8100,3249.9761092150165
492,13,19,8119,3254.092150170647
493,13,21,8140,3256.2081911262794
494,13,23,8163,3256.32423208191
495,13,24,8187,3255.4402730375423
496,13,17,8204,3261.556313993173
497,13,21,8225,3263.672354948805
498,13,23,8248,3263.7883959044357
499,13,23,8271,3263.904436860068
500,13,31,8302,3256.0204778156985
501,13,36,8338,3243.136518771331
502,13,29,8367,3237.2525597269614
503,13,26,8393,3234.3686006825938
504,13,26,8419,3231.4846416382243
505,13,19,8438,3235.6006825938566
506,13,23,8461,3235.716723549487
507,13,27,8488,3231.8327645051195
508,13,23,8511,3231.94880546075
509,13,27,8538,3228.0648464163824
510,13,24,8562,3227.180887372013
511,13,25,8587,3225.296928327645
512,13,32,8619,3216.4129692832757
513,13,27,8646,3212.5290102389063
514,13,23,8669,3212.6450511945386
515,13,29,8698,3206.761092150169
516,13,13,8711,3216.8771331058015
517,13,23,8734,3216.993174061432
518,13,17,8751,3223.1092150170643
519,13,24,8775,3222.225255972695
520,13,23,8798,3222.341296928327
521,13,23,8821,3222.4573378839577
522,13,20,8841,3225.57337883959
523,13,15,8856,3233.6894197952206
524,13,26,8882,3230.805460750853
525,13,31,8913,3222.9215017064835
526,13,24,8937,3222.037542662116
527,13,21,8958,3224.1535836177463
528,13,19,8977,3228.2696245733787
529,13,15,8992,3236.385665529009
530,13,26,9018,3233.5017064846415
531,13,23,9041,3233.617747440272
532,13,26,9067,3230.7337883959044
533,13,25,9092,3228.849829351535
534,13,25,9117,3226.9658703071673
535,13,19,9136,3231.081911262798
536,13,19,9155,3235.19795221843
537,13,18,9173,3240.3139931740607
538,13,23,9196,3240.430034129691
539,13,19,9215,3244.5460750853235
540,13,21,9236,3246.662116040954
