,0
1,21.908997955010225
2,43.81799591002045
3,65.72699386503068
4,87.6359918200409
5,109.54498977505112
6,131.45398773006136
7,153.36298568507158
8,175.2719836400818
9,197.18098159509202
10,219.08997955010224
11,240.99897750511246
12,262.9079754601227
13,284.8169734151329
14,288.72597137014316
15,310.63496932515335
16,332.5439672801636
17,354.45296523517385
18,376.36196319018404
19,398.2709611451943
20,399.1799591002045
21,397.08895705521473
22,395.9979550102249
23,399.9069529652352
24,402.8159509202454
25,403.7249488752557
26,425.6339468302658
27,420.54294478527606
28,418.4519427402863
29,413.36094069529656
30,406.2699386503067
31,406.17893660531695
32,405.0879345603272
33,397.99693251533745
34,398.9059304703477
35,392.81492842535783
36,395.7239263803681
37,398.63292433537833
38,397.5419222903886
39,407.4509202453987
40,408.35991820040897
41,411.2689161554192
42,405.17791411042947
43,404.0869120654397
44,403.99591002044986
45,401.9049079754601
46,388.81390593047036
47,393.7229038854805
48,396.63190184049085
49,398.540899795501
50,393.44989775051135
51,381.3588957055215
52,384.2678936605316
53,386.176891615542
54,386.0858895705521
55,387.99488752556226
56,387.9038854805726
57,389.81288343558276
58,395.7218813905931
59,395.63087934560326
60,393.5398773006134
61,398.44887525562376
62,402.3578732106339
63,400.26687116564426
64,399.1758691206544
65,404.08486707566453
66,402.9938650306749
67,395.90286298568503
68,397.8118609406954
69,392.72085889570553
70,390.62985685071567
71,388.53885480572603
72,390.44785276073617
73,381.35685071574653
74,387.26584867075667
75,393.1748466257668
76,392.08384458077717
77,382.9928425357873
78,380.90184049079744
79,378.8108384458078
80,378.71983640081794
81,375.6288343558283
82,377.53783231083844
83,372.4468302658486
84,377.35582822085894
85,383.2648261758691
86,388.17382413087944
87,383.0828220858896
88,374.9918200408997
89,367.9008179959101
90,361.8098159509202
91,361.7188139059306
92,356.6278118609407
93,359.53680981595085
94,367.445807770961
95,368.35480572597135
96,372.2638036809817
97,370.1728016359916
98,371.081799591002
99,372.99079754601235
100,367.8997955010227
101,370.8087934560326
