round,arm_pulled,reward,cum_reward,regret
64,21,25,1222,354.56438969764827
65,3,15,1237,364.1982082866741
66,2,24,1261,364.83202687569974
67,12,7,1268,382.4658454647256
68,21,24,1292,383.0996640537512
69,21,29,1321,378.73348264277706
70,21,27,1348,376.3673012318027
71,21,27,1375,374.00111982082854
72,1,14,1389,384.6349384098544
73,21,16,1405,393.26875699888
74,13,24,1429,393.90257558790586
75,21,21,1450,397.5363941769315
76,19,7,1457,415.17021276595733
77,21,28,1485,411.8040313549832
78,21,20,1505,416.4378499440088
79,21,30,1535,411.07166853303465
80,3,22,1557,413.7054871220603
81,21,26,1583,412.3393057110861
82,17,15,1598,421.97312430011175
83,19,5,1603,441.6069428891376
84,21,23,1626,443.2407614781632
85,10,22,1648,445.8745800671891
86,21,25,1673,445.5083986562149
87,21,28,1701,442.1422172452408
88,21,28,1729,438.77603583426617
89,21,26,1755,437.409854423292
90,21,25,1780,437.04367301231787
91,21,24,1804,437.6774916013437
92,21,33,1837,429.31131019036957
93,3,23,1860,430.94512877939496
94,21,28,1888,427.5789473684208
95,21,26,1914,426.21276595744666
96,21,29,1943,421.8465845464725
97,21,29,1972,417.48040313549836
98,21,26,1998,416.11422172452376
99,19,5,2003,435.7480403135496
100,9,20,2023,440.38185890257546
101,9,14,2037,451.0156774916013
102,21,22,2059,453.6494960806267
103,21,30,2089,448.28331466965255
104,21,26,2115,446.9171332586784
105,11,8,2123,463.55095184770425
106,21,32,2155,456.1847704367301
107,18,17,2172,463.8185890257555
108,21,23,2195,465.45240761478135
109,21,29,2224,461.0862262038072
110,5,21,2245,464.72004479283305
111,21,27,2272,462.3538633818589
112,21,28,2300,458.9876819708843
113,16,15,2315,468.62150055991015
114,21,24,2339,469.255319148936
115,21,28,2367,465.88913773796185
116,21,19,2386,471.5229563269877
117,21,24,2410,472.1567749160131
118,21,18,2428,478.79059350503894
119,21,18,2446,485.4244120940648
120,21,21,2467,489.05823068309064
121,5,15,2482,498.69204927211604
122,3,20,2502,503.3258678611419
123,21,26,2528,501.95968645016774
124,21,30,2558,496.5935050391936
125,21,21,2579,500.22732362821944
126,21,27,2606,497.86114221724483
127,21,19,2625,503.4949608062707
128,21,20,2645,508.12877939529653
129,8,12,2657,520.7625979843224
130,21,31,2688,514.3964165733482
131,21,33,2721,506.03023516237363
132,21,28,2749,502.6640537513995
133,21,29,2778,498.29787234042533
134,12,8,2786,514.9316909294512
135,21,20,2806,519.565509518477
136,21,18,2824,526.1993281075024
137,21,30,2854,520.8331466965283
138,21,27,2881,518.4669652855541
139,21,20,2901,523.10078387458
140,21,17,2918,530.7346024636054
141,19,13,2931,542.3684210526312
142,21,22,2953,545.0022396416571
143,6,16,2969,553.6360582306829
144,21,10,2979,568.2698768197088
145,3,17,2996,575.9036954087342
146,13,27,3023,573.53751399776
147,21,26,3049,572.1713325867859
148,21,24,3073,572.8051511758117
149,9,14,3087,583.4389697648376
150,21,24,3111,584.072788353863
151,21,27,3138,581.7066069428888
152,21,19,3157,587.3404255319147
153,1,16,3173,595.9742441209405
154,21,25,3198,595.6080627099664
155,13,32,3230,588.2418812989918
156,4,20,3250,592.8756998880176
157,13,14,3264,603.5095184770435
158,21,23,3287,605.1433370660693
159,16,11,3298,618.7771556550947
160,21,24,3322,619.4109742441206
161,19,7,3329,637.0447928331464
162,21,34,3363,627.6786114221723
163,7,19,3382,633.3124300111981
164,21,29,3411,628.9462486002235
165,21,26,3437,627.5800671892493
166,21,26,3463,626.2138857782752
167,21,31,3494,619.847704367301
168,13,24,3518,620.4815229563264
169,21,25,3543,620.1153415453527
170,13,16,3559,628.7491601343781
171,21,25,3584,628.3829787234035
172,21,27,3611,626.0167973124298
173,21,19,3630,631.6506159014552
174,21,25,3655,631.2844344904815
175,21,28,3683,627.9182530795069
176,21,31,3714,621.5520716685323
177,21,30,3744,616.1858902575586
178,15,23,3767,617.819708846584
179,21,25,3792,617.4535274356103
180,21,26,3818,616.0873460246357
181,21,35,3853,605.7211646136611
182,7,17,3870,613.3549832026874
183,21,29,3899,608.9888017917128
184,21,22,3921,611.6226203807391
185,21,37,3958,599.2564389697645
186,21,26,3984,597.8902575587899
187,21,22,4006,600.5240761478162
188,9,18,4024,607.1578947368416
189,21,26,4050,605.7917133258679
190,21,21,4071,609.4255319148933
191,21,24,4095,610.0593505039187
192,21,29,4124,605.693169092945
193,21,28,4152,602.3269876819704
194,21,31,4183,595.9608062709967
195,7,20,4203,600.5946248600221
196,21,28,4231,597.2284434490475
197,21,25,4256,596.8622620380738
198,21,18,4274,603.4960806270992
199,2,19,4293,609.1298992161255
200,21,24,4317,609.7637178051509
201,21,20,4337,614.3975363941763
202,21,24,4361,615.0313549832026
203,21,29,4390,610.665173572228
204,21,21,4411,614.2989921612534
205,21,26,4437,612.9328107502797
206,21,26,4463,611.5666293393051
207,21,22,4485,614.2004479283314
208,21,17,4502,621.8342665173568
209,21,30,4532,616.4680851063822
210,21,28,4560,613.1019036954085
211,21,30,4590,607.7357222844339
212,21,20,4610,612.3695408734602
213,4,26,4636,611.0033594624856
214,3,18,4654,617.637178051511
215,21,22,4676,620.2709966405373
216,21,26,4702,618.9048152295627
217,21,30,4732,613.538633818589
218,10,14,4746,624.1724524076144
219,21,26,4772,622.8062709966398
220,11,12,4784,635.4400895856661
221,21,22,4806,638.0739081746915
222,21,24,4830,638.7077267637178
223,21,23,4853,640.3415453527432
224,21,23,4876,641.9753639417686
225,21,20,4896,646.6091825307949
226,21,30,4926,641.2430011198203
227,21,25,4951,640.8768197088466
228,21,25,4976,640.510638297872
229,21,24,5000,641.1444568868974
230,21,20,5020,645.7782754759237
231,21,29,5049,641.4120940649491
232,21,20,5069,646.0459126539754
233,21,29,5098,641.6797312430008
234,21,26,5124,640.3135498320262
235,21,17,5141,647.9473684210525
236,21,23,5164,649.5811870100779
237,21,29,5193,645.2150055991042
238,21,27,5220,642.8488241881296
239,13,23,5243,644.482642777155
240,21,32,5275,637.1164613661813
241,21,22,5297,639.7502799552067
242,21,20,5317,644.3840985442321
243,21,19,5336,650.0179171332584
244,7,24,5360,650.6517357222838
245,21,28,5388,647.2855543113101
246,21,29,5417,642.9193729003355
247,16,11,5428,656.5531914893609
248,21,22,5450,659.1870100783872
249,21,18,5468,665.8208286674126
250,21,22,5490,668.4546472564389
251,21,26,5516,667.0884658454643
252,21,23,5539,668.7222844344897
253,21,26,5565,667.356103023516
254,21,24,5589,667.9899216125414
255,21,21,5610,671.6237402015677
256,21,30,5640,666.2575587905931
257,21,22,5662,668.8913773796185
258,14,8,5670,685.5251959686448
259,21,21,5691,689.1590145576702
260,22,5,5696,708.7928331466965
261,21,25,5721,708.4266517357219
262,21,20,5741,713.0604703247473
263,21,22,5763,715.6942889137736
264,21,21,5784,719.328107502799
265,21,27,5811,716.9619260918253
266,21,21,5832,720.5957446808507
267,21,31,5863,714.229563269876
268,21,28,5891,710.8633818589024
269,11,4,5895,731.4972004479278
270,7,20,5915,736.1310190369541
271,21,29,5944,731.7648376259795
272,21,17,5961,739.3986562150048
273,21,23,5984,741.0324748040312
274,21,26,6010,739.6662933930565
275,21,25,6035,739.300111982082
276,21,21,6056,742.9339305711082
277,21,28,6084,739.5677491601336
278,21,20,6104,744.20156774916
279,21,18,6122,750.8353863381853
280,21,24,6146,751.4692049272107
281,21,26,6172,750.103023516237
282,21,25,6197,749.7368421052624
283,21,18,6215,756.3706606942887
284,21,27,6242,754.0044792833141
285,21,25,6267,753.6382978723395
286,21,26,6293,752.2721164613658
287,21,25,6318,751.9059350503912
288,21,26,6344,750.5397536394175
289,21,20,6364,755.1735722284429
290,21,20,6384,759.8073908174683
291,21,19,6403,765.4412094064946
292,21,30,6433,760.07502799552
293,21,18,6451,766.7088465845463
294,21,27,6478,764.3426651735717
295,21,18,6496,770.9764837625971
296,21,28,6524,767.6103023516234
297,21,29,6553,763.2441209406488
298,21,17,6570,770.8779395296751
