,0
1,24.564167725540024
2,49.12833545108005
3,73.69250317662008
4,98.2566709021601
5,122.82083862770011
6,147.38500635324016
7,148.94917407878017
8,173.5133418043202
9,198.0775095298602
10,222.64167725540023
11,247.20584498094024
12,271.7700127064803
13,296.33418043202033
14,320.89834815756035
15,345.46251588310037
16,370.0266836086404
17,394.5908513341804
18,419.1550190597204
19,443.71918678526043
20,468.28335451080045
21,492.8475222363405
22,517.4116899618805
23,541.9758576874206
24,566.5400254129606
25,591.1041931385006
26,615.6683608640407
27,640.2325285895806
28,664.7966963151207
29,689.3608640406607
30,713.9250317662007
31,738.4891994917407
32,763.0533672172808
33,787.6175349428208
34,812.1817026683608
35,836.7458703939009
36,861.3100381194408
37,885.8742058449809
38,910.4383735705209
39,935.0025412960609
40,959.5667090216009
41,984.130876747141
42,1008.695044472681
43,1033.2592121982211
44,1057.823379923761
45,1082.387547649301
46,1106.9517153748411
47,1131.5158831003812
48,1156.0800508259213
49,1180.644218551461
50,1205.2083862770012
51,1229.7725540025413
52,1254.3367217280813
53,1278.9008894536212
54,1303.4650571791612
55,1328.0292249047013
56,1352.5933926302414
57,1377.1575603557815
58,1401.7217280813213
59,1426.2858958068614
60,1450.8500635324015
61,1475.4142312579415
62,1499.9783989834814
63,1524.5425667090215
64,1549.1067344345615
65,1573.6709021601016
66,1598.2350698856417
67,1622.7992376111815
68,1647.3634053367216
69,1671.9275730622617
70,1696.4917407878017
71,1721.0559085133416
72,1745.6200762388817
73,1770.1842439644217
74,1794.7484116899618
75,1819.312579415502
76,1843.8767471410417
77,1868.4409148665818
78,1893.0050825921219
79,1917.569250317662
80,1942.1334180432018
81,1966.6975857687419
82,1991.261753494282
83,2015.825921219822
84,2040.390088945362
85,2064.954256670902
86,2089.5184243964422
87,2114.082592121982
88,2138.646759847522
89,2163.2109275730622
90,2187.775095298602
91,2212.3392630241424
92,2236.9034307496822
93,2261.467598475222
94,2286.0317662007624
95,2310.595933926302
96,2335.1601016518425
97,2359.7242693773824
98,2384.288437102922
99,2408.8526048284625
100,2433.4167725540024
101,2457.980940279542
102,2482.5451080050825
103,2507.1092757306224
104,2531.6734434561627
105,2556.2376111817025
106,2580.8017789072424
107,2605.3659466327827
108,2629.9301143583225
109,2654.494282083863
110,2679.0584498094026
111,2703.6226175349425
112,2728.186785260483
113,2752.7509529860226
114,2777.315120711563
115,2801.879288437103
116,2826.4434561626426
117,2851.007623888183
118,2875.571791613723
119,2900.1359593392626
120,2924.700127064803
121,2949.264294790343
122,2973.828462515883
123,2998.392630241423
124,3022.9567979669628
125,3047.520965692503
126,3072.085133418043
127,3096.649301143583
128,3121.213468869123
129,3145.777636594663
130,3170.341804320203
131,3194.905972045743
132,3219.4701397712834
133,3244.034307496823
134,3268.598475222363
135,3293.1626429479034
136,3317.726810673443
137,3342.2909783989835
138,3366.8551461245233
139,3391.419313850063
140,3415.9834815756035
141,3440.5476493011433
142,3465.111817026683
143,3489.6759847522235
144,3514.2401524777633
145,3538.8043202033036
146,3563.3684879288435
147,3587.9326556543833
148,3612.4968233799236
149,3637.0609911054635
150,3661.625158831004
151,3686.1893265565436
152,3710.7534942820835
153,3735.3176620076238
154,3759.8818297331636
155,3784.445997458704
156,3809.0101651842438
157,3833.5743329097836
158,3858.138500635324
159,3882.7026683608638
160,3907.2668360864036
161,3931.831003811944
162,3956.3951715374837
163,3980.959339263024
164,4005.523506988564
165,4030.0876747141037
166,4054.651842439644
167,4079.2160101651843
168,4103.780177890724
169,4128.344345616264
170,4152.908513341804
171,4177.472681067344
172,4202.0368487928845
173,4226.601016518424
174,4251.165184243964
175,4275.729351969504
176,4300.293519695044
177,4324.857687420585
178,4349.4218551461245
179,4373.986022871664
180,4398.550190597204
181,4423.114358322744
182,4447.678526048285
183,4472.242693773825
184,4496.8068614993645
185,4521.371029224904
186,4545.935196950444
187,4570.499364675985
188,4595.063532401525
189,4597.627700127065
190,4622.191867852604
191,4646.756035578144
192,4671.320203303685
193,4695.884371029225
194,4720.448538754765
195,4745.012706480305
196,4769.576874205844
197,4794.141041931384
198,4818.705209656925
199,4843.269377382465
200,4867.833545108005
201,4892.397712833545
202,4916.961880559084
203,4941.526048284625
204,4966.090216010165
205,4990.654383735705
206,5015.218551461245
207,5013.782719186785
208,5007.346886912325
209,5004.911054637865
210,4998.475222363405
211,5005.039390088945
212,5029.603557814485
213,5031.1677255400255
214,5027.731893265565
215,5023.296060991105
216,5022.860228716645
217,5047.424396442185
218,5052.988564167726
219,5051.552731893265
220,5054.116899618805
221,5052.681067344345
222,5046.245235069885
223,5045.809402795426
224,5041.373570520966
225,5039.937738246505
226,5037.501905972045
227,5033.066073697585
228,5028.630241423126
229,5023.194409148666
230,5021.758576874206
231,5027.322744599745
232,5031.886912325285
233,5038.451080050826
234,5040.015247776366
235,5040.579415501906
236,5036.143583227446
237,5036.707750952985
238,5038.271918678525
239,5034.836086404066
240,5039.400254129606
241,5039.964421855146
242,5041.528589580686
243,5042.092757306225
244,5042.656925031766
245,5039.221092757306
246,5042.785260482846
247,5043.349428208386
248,5054.9135959339255
249,5056.477763659466
250,5062.041931385006
251,5064.606099110546
252,5089.170266836086
253,5092.734434561626
254,5117.298602287166
255,5122.862770012706
256,5116.426937738246
257,5109.991105463786
258,5134.555273189326
259,5130.119440914867
260,5126.683608640406
261,5132.247776365946
262,5130.811944091486
263,5128.376111817026
264,5116.940279542567
265,5117.504447268107
266,5117.068614993646
267,5119.632782719186
268,5118.196950444726
269,5122.761118170267
270,5124.325285895807
271,5148.889453621347
272,5152.453621346886
273,5148.017789072426
274,5151.581956797967
275,5146.146124523507
276,5144.710292249047
277,5147.2744599745865
278,5148.838627700126
279,5151.402795425666
280,5148.966963151207
281,5148.531130876747
282,5145.095298602287
283,5138.6594663278265
284,5139.223634053366
285,5138.787801778907
286,5140.351969504447
287,5138.916137229987
288,5134.480304955527
289,5135.0444726810665
290,5129.608640406607
291,5129.172808132147
292,5126.736975857687
293,5121.301143583227
294,5117.865311308767
295,5113.429479034307
296,5113.993646759847
297,5110.557814485387
298,5109.121982210927
299,5107.686149936467
300,5104.250317662008
301,5100.814485387547
302,5103.378653113087
303,5093.942820838627
304,5093.506988564167
305,5088.071156289708
306,5092.6353240152475
307,5086.199491740787
308,5082.763659466327
309,5080.327827191867
310,5081.891994917408
311,5078.456162642948
312,5080.0203303684875
313,5080.584498094027
314,5077.148665819567
315,5080.712833545108
316,5083.277001270648
317,5084.841168996188
318,5086.4053367217275
319,5083.969504447267
320,5085.533672172807
321,5082.097839898348
322,5080.662007623888
323,5076.226175349428
324,5067.7903430749675
325,5066.354510800507
326,5071.918678526048
327,5071.482846251588
328,5071.047013977128
329,5073.611181702668
330,5072.1753494282075
331,5071.739517153748
332,5074.303684879288
333,5079.867852604828
334,5077.432020330369
335,5078.996188055908
336,5080.560355781448
337,5078.124523506987
338,5078.688691232528
339,5080.252858958069
340,5082.817026683608
341,5083.3811944091485
342,5077.9453621346875
343,5073.509529860228
344,5065.073697585769
345,5067.637865311308
346,5070.202033036849
347,5072.766200762388
348,5070.330368487928
349,5069.894536213469
350,5071.458703939008
351,5073.022871664549
352,5072.587039390088
353,5076.1512071156285
354,5074.715374841169
355,5074.279542566708
356,5083.843710292249
357,5089.407878017788
358,5090.972045743329
359,5086.536213468869
360,5085.100381194408
361,5095.664548919949
362,5096.228716645488
363,5096.792884371029
364,5105.3570520965695
365,5098.9212198221085
366,5123.485387547649
367,5125.049555273188
368,5121.613722998729
