round,arm_pulled,reward,cum_reward,regret
115,7,15,1937,17.306532663316602
116,7,22,1959,12.300502512562844
117,7,19,1978,10.294472361809085
118,7,13,1991,14.288442211055099
119,7,12,2003,19.28241206030134
120,7,9,2012,27.27638190954758
121,7,25,2037,19.270351758793822
122,7,17,2054,19.264321608040063
123,7,13,2067,23.258291457286305
124,7,11,2078,29.252261306532546
125,7,14,2092,32.24623115577879
126,7,19,2111,30.24020100502503
127,7,20,2131,27.23417085427127
128,7,11,2142,33.22814070351751
129,7,18,2160,32.22211055276375
130,7,18,2178,31.216080402009993
131,7,22,2200,26.210050251256234
132,7,17,2217,26.204020100502476
133,7,14,2231,29.197989949748717
134,7,15,2246,31.191959798994958
135,7,18,2264,30.1859296482412
136,7,11,2275,36.17989949748744
137,7,24,2299,29.17386934673368
138,7,19,2318,27.167839195979923
139,7,15,2333,29.161809045226164
140,7,9,2342,37.155778894472405
141,7,17,2359,37.149748743718646
142,7,20,2379,34.14371859296489
143,7,20,2399,31.13768844221113
144,7,26,2425,22.13165829145737
145,7,8,2433,31.12562814070361
146,7,21,2454,27.119597989949852
147,7,21,2475,23.113567839196094
148,7,18,2493,22.107537688442335
149,7,20,2513,19.101507537688576
150,7,19,2532,17.095477386934363
151,7,13,2545,21.089447236180604
152,7,8,2553,30.083417085426845
153,7,17,2570,30.077386934673086
154,7,17,2587,30.071356783919327
155,7,16,2603,31.06532663316557
156,7,17,2620,31.05929648241181
157,7,24,2644,24.05326633165805
158,7,13,2657,28.047236180904292
159,7,26,2683,19.041206030150533
160,7,27,2710,9.035175879396775
161,7,18,2728,8.029145728643016
162,7,18,2746,7.023115577889257
163,7,12,2758,12.017085427135498
164,7,23,2781,6.0110552763817395
165,7,16,2797,7.005025125627981
166,7,20,2817,3.998994974874222
167,7,17,2834,3.992964824120463
168,7,15,2849,5.986934673366704
169,7,14,2863,8.980904522612946
170,7,14,2877,11.974874371859187
171,7,15,2892,13.968844221105428
172,7,26,2918,4.962814070351669
173,7,14,2932,7.95678391959791
174,7,12,2944,12.950753768844152
175,7,13,2957,16.944723618090393
176,7,9,2966,24.938693467336634
177,7,18,2984,23.932663316582875
178,7,10,2994,30.926633165829116
179,7,26,3020,21.920603015075358
180,7,8,3028,30.9145728643216
181,7,16,3044,31.90854271356784
182,7,14,3058,34.90251256281408
183,7,22,3080,29.896482412060323
184,7,14,3094,32.890452261306564
185,7,16,3110,33.884422110552805
186,7,18,3128,32.878391959799046
187,7,23,3151,26.872361809045287
188,7,17,3168,26.86633165829153
189,7,17,3185,26.86030150753777
190,7,14,3199,29.85427135678401
191,7,18,3217,28.848241206030252
192,7,14,3231,31.842211055276493
193,7,11,3242,37.83618090452228
194,7,17,3259,37.83015075376852
195,7,20,3279,34.82412060301476
196,7,18,3297,33.818090452261
197,7,14,3311,36.812060301507245
198,7,17,3328,36.806030150753486
199,7,20,3348,33.79999999999973
200,7,17,3365,33.79396984924597
201,7,14,3379,36.78793969849221
202,7,20,3399,33.78190954773845
203,7,13,3412,37.77587939698469
204,7,11,3423,43.76984924623093
205,7,14,3437,46.763819095477174
206,7,20,3457,43.757788944723416
207,7,12,3469,48.75175879396966
208,7,19,3488,46.7457286432159
